aeroportoPartenza;cittàPartenza;nazionePartenza;aeroportoArrivo;cittàArrivo;nazioneArrivo;compagniaAerea
"Nikos Kazantzakis";Heraklion;Greece;Pulkovo;"St. Petersburg";Russia;"Aegean Airlines"
"Nikos Kazantzakis";Heraklion;Greece;"Franz Josef Strauss";Munich;Germany;"Aegean Airlines"
"Nikos Kazantzakis";Heraklion;Greece;Makedonia;Thessaloniki;Greece;"Aegean Airlines"
"Nikos Kazantzakis";Heraklion;Greece;"Ben Gurion";Tel-aviv;Israel;"Aegean Airlines"
"Zhuliany Intl";Kiev;Ukraine;"Eleftherios Venizelos Intl";Athens;Greece;"Aegean Airlines"
"Zhuliany Intl";Kiev;Ukraine;Larnaca;Larnaca;Cyprus;"Aegean Airlines"
Ataturk;Istanbul;Turkey;"Eleftherios Venizelos Intl";Athens;Greece;"Aegean Airlines"
Mikonos;Mykonos;Greece;"Eleftherios Venizelos Intl";Athens;Greece;"Aegean Airlines"
Mikonos;Mykonos;Greece;Makedonia;Thessaloniki;Greece;"Aegean Airlines"
Santorini;Thira;Greece;"Eleftherios Venizelos Intl";Athens;Greece;"Aegean Airlines"
Santorini;Thira;Greece;Makedonia;Thessaloniki;Greece;"Aegean Airlines"
Kos;Kos;Greece;"Eleftherios Venizelos Intl";Athens;Greece;"Aegean Airlines"
